百日咳	{'痉挛性咳嗽', '持续性咳嗽', '窒息', '意识障碍', '口唇发绀', '呕吐', '充血', '鼻出血', '溃疡', '低热', '惊厥', '颈静脉怒张', '干咳', '胸闷', '水肿', '大小便失禁', '结膜充血', '咳嗽', '恐惧', '上腔静脉回流受阻', '打喷嚏', '肺不张', '抽搐', '流泪', '紧张', '发绀'}
苯中毒	{'呼吸困难', '紫绀', '心悸', '头晕', '面色苍白', '耳鸣', '呕吐', '昏迷', '周围神经损害', '神志恍惚', '谵妄', '头痛', '脉搏细速', '腹痛', '畏光', '恶心', '血压下降', '步态不稳', '震颤', '咳嗽', '腹泻', '轻度中毒', '休克', '抽搐', '反应迟钝', '流泪', '嗜睡'}
喘息样支气管炎	{'湿罗音', '哮鸣音', '喘息', '高热'}
成人呼吸窘迫综合征	{'肺实变', '心力衰竭', '紫绀', '气胸', '焦虑', '肺不张', '哮鸣音', '水泡'}
大量羊水吸入	{'湿罗音', '肺纹理增粗', '气急', '呼吸困难'}
单纯性肺嗜酸粒细胞浸润症	{'头痛', '咳嗽', '乏力', '纳差', '胸闷', '低热'}
大叶性肺炎	{'急性病容', '咳嗽', '胸痛', '腹泻', '呼吸急促', '鼻翼扇动', '紫绀', '烦躁不安', '咳铁锈色痰', '呕吐', '腹胀', '胸膜摩擦音', '休克', '恶心', '寒战', '湿罗音', '谵妄', '铁锈色痰', '高热'}
大楼病综合征	{'头痛', '咳嗽', '情绪起伏大', '打喷嚏', '恶心', '气喘'}
二硫化碳中毒	{'震颤', '脑水肿', '躁狂', '麻痹', '神经疼痛', '骨间肌和鱼际肌萎缩', '多发性神经炎', '步态不稳', '昏迷', '硬化', '腱反射消失', '周围神经损害', '谵妄', '抑郁', '水肿'}
肺-胸膜阿米巴病	{'呼吸音减弱', '胸腔积液', '咳嗽', '腹泻', '乏力', '胸痛', '咯血', '呼吸困难', '胸膜休克', '脓肿', '食欲不振', '盗汗', '肋间隙可有压痛', '休克', '贫血', '消瘦', '脓肿破入胸腔', '脓血便', '咳巧克力色痰'}
肺出血－肾炎综合征	{'血清抗GBM抗体阳性', '胸痛', '呼吸困难', '肾功能衰竭', '窒息', '肺部出血', '肾病综合征', '三联征', '大咯血', '高血压', '气喘', '蛋白尿', '少尿', '疲乏', '贫血', '缺铁性贫血', '水肿', '咳嗽', '咯血', '血管炎', '肺栓塞', '无尿', '血尿', '无力'}
肺放线菌病	{'胸腔积液', '咳嗽', '胸痛', '乏力', '咯血', '体重减轻', '吞咽困难', '脓肿', '大咯血', '盗汗', '贫血', '低热', '高热'}
肺泡蛋白沉着症	{'咳嗽', '发绀', '乏力', '呼吸困难', '咯血', '点状出血', '捻发音', '低热', '肺部感染'}
肺曲菌病	{'咳嗽', '咳痰', '乏力', '粒细胞增多', '囊肿', '畏寒', '咯血', '血管炎', '脓肿', '脓痰', '肺不张', '肉芽肿', '低热'}
放射性肺炎	{'胸痛', '呼吸困难', '胸膜摩擦音', '心悸', '吞咽困难', '细菌感染', '颈静脉充盈', '气体弥散障碍', '低热', '端坐呼吸', '高热', '气急', '干咳', '低氧血症', '水肿', '咳嗽', '肺纤维化', '捻发音', '肝大', '右心衰竭', '发绀'}
肺念珠菌病	{'咳嗽', '肺纹理增粗', '畏寒', '休克', '两下肺纹理增粗', '痰呈白色黏稠胶冻状', '菌血症'}
肺大疱	{'继发感染', '呼吸音减弱', '胸痛', '气短', '咳嗽', '呼吸困难', '咳痰', '气胸', '紫绀', '胸闷', '寒战', '气管阻塞', '心绞痛', '发绀'}
肺炎球菌肺炎	{'巩膜黄染', '紫绀', '烦躁不安', '皮肤干燥', '胸膜摩擦音', '呕吐', '稽留热', '心率增快', '腹部压痛', '昏迷', '疱疹', '神志模糊', '疲劳', '谵妄', '肌肉酸痛', '肠胀气', '高热', '腹痛', '气急', '低氧血症', '恶心', '寒战', '血管内凝血', '败血症', '咳嗽', '腹泻', '休克', '急腹症', '嗜睡', '醉酒'}
肺气肿	{'继发感染', '呼吸音减弱', '腹水', '呼吸困难', '气胸', '呼吸衰竭', '心音遥远', '桶状胸', '慢性咳嗽', '神志恍惚', '颈静脉怒张', '头痛', '咳痰', '气急', '胸闷', '水肿', '咳嗽', '右心衰竭', '肝大', '嗜睡', '发绀'}
肺泡蛋白质沉积症	{'继发感染', '咳嗽', '体重减轻', '乏力', '呼吸困难', '紫绀', '捻发音', '食欲减退', '呼吸衰竭'}
肺炎杆菌肺炎	{'胸痛', '咳嗽', '紫绀', '畏寒', '气急', '心悸', '休克', '高热'}
肺脓肿	{'继发感染', '胸痛', '咳嗽', '乏力', '咯血', '毒血症', '畏寒', '纳差', '气胸', '气急', '脓肿', '咳痰', '大咯血', '脓痰', '贫血', '慢性咳嗽', '消瘦', '湿罗音', '高热'}
肺水肿	{'重症肌无力', '血管畸形', '胸痛', '呼吸困难', '肾功能衰竭', '气胸', '水潴留', '麻痹', '创伤', '窒息', '腹胀', '食欲减退', '低血压', '心悸', '硬化', '左心衰竭', '脑缺血', '表情淡漠', '支气管痉挛', '炎性细胞浸润', '口唇发绀', '出冷汗', '呕吐', '面色青灰', '昏迷', '肺淤血', '高血压', '充血', '脑缺氧', '食管瘘', '端坐呼吸', '哮鸣音', '粉红色泡沫痰', '失眠', '脑脓肿', '惊厥', '三凹征', '头痛', '肺部感染', '高热', '腹痛', '少尿', '利尿', '脓肿', '干咳', '低氧血症', '疲乏', '心肌梗死', '胸闷', '恶心', '寒战', '血压下降', '妊娠中毒', '头昏', '水肿', '败血症', '脑水肿', '呼吸性碱中毒', '咳嗽', '皮肤湿冷', '神志不清', '呼吸急促', '肺纹理增粗', '恐惧', '动脉粥样硬化', '肺栓塞', '冷汗', '粉红色泡沫样痰', '无尿', '肺不张', '休克', '心动过速', '气管受压', '过度通气', '无力', '心律失常', '血流阻力增加', '咳血', '发绀'}
非典	{'继发感染', '肺实变', '胸痛', '呼吸困难', '咽痛', '胸腔积液', '组织坏死', '乏力', '呕吐', '充血', '溃疡', '肌肉酸痛', '关节酸痛', '高热', '头痛', '干咳', '真菌感染', '低氧血症', '恶心', '胸闷', '湿罗音', '水肿', '咳嗽', '腹泻', '畏寒', '血管炎', '脱髓', '上呼吸道卡他症状'}
肺栓塞	{'胸腔积液', '胸痛', '咯血', '呼吸困难', '晕厥', '紫绀', '焦虑', '低氧血症', '肺栓塞', '胸膜摩擦音', '胸骨后疼痛', '休克', '心动过速', '血管杂音', '湿罗音', '哮鸣音', '高热'}
肺炎	{'胸痛', '肺实变', '呼吸困难', '巩膜黄染', '紫绀', '皮肤干燥', '腹胀', '急性面容', '呕吐', '稽留热', '昏迷', '心率增快', '充血', '神志模糊', '疱疹', '铁锈色痰', '肌肉酸痛', '低热', '高热', '头痛', '咳痰', '腹痛', '干咳', '恶心', '寒战', '鼓膜充血', '败血症', '咳嗽', '腹泻', '毒血症', '血丝痰', '急腹症', '胃肠道症状', '嗜睡'}
肺转移瘤	{'继发感染', '胸腔积液', '肺性肥大', '多发性结节', '咳嗽', '胸痛', '呼吸困难', '肺纤维化', '咯血', '痰中带血丝', '麻痹', '气急', '干咳', '大咯血', '肺栓塞', '肺不张', '胸闷', '膈麻痹', '结节', '骨转移'}
肺大泡	{'胸痛', '气短', '咯血', '胸闷', '肺部感染'}
肺炎性假瘤	{'胸痛', '咳嗽', '咳痰', '咯血', '低热'}
肺隐球菌病	{'空洞形成', '急性呼吸窘迫综合征', '隐球菌感染', '结节', '低热'}
肺癌	{'重症肌无力', '肌肉神经痛', '咳嗽', '胸痛', '咯血', '声带麻痹', '麻痹', '吞咽困难', '干咳', '臂痛', '声音嘶哑', '神经痛', '胸闷', '无力', '眼球内陷', '水肿', '肺部感染'}
镉中毒	{'眩晕', '气短', '胸痛', '肾损害', '肾功能衰竭', '呼吸困难', '肾结石', '骨痛', '骨质疏松', '骨软化', '咽痛', '失水', '头晕', '牙齿颈部黄斑', '乏力', '体重减轻', '鼻粘膜溃疡和萎缩', '循环衰竭', '呕吐', '高血压', '溃疡', '肌肉酸痛', '关节酸痛', '骨软化症', '胸闷气短', '头痛', '蛋白尿', '腹痛', '上呼吸道粘膜刺激症状', '虚脱', '尿蛋白', '结石', '贫血', '恶心', '胸闷', '肌肉疼痛', '寒战', '糖尿', '水肿', '咳嗽', '腹泻', '肺纹理增粗', '肺纤维化', '心力衰竭', '自发性骨折', '休克', '抽搐', '鼻粘膜溃疡', '无力', '尿磷'}
感冒	{'咳嗽', '头痛', '乏力', '畏寒', '听力减退', '畏光', '鼻塞', '咽痛', '味觉减退', '充血', '淋巴结肿大', '疱疹', '溶血', '脓性分泌物', '流泪', '溃疡', '低热', '红晕', '水肿'}
感染性休克	{'肢端湿冷', '脉压小', '脉搏细速', '皮肤湿冷', '紫绀', '焦虑', '心音低钝', '呕吐', '静脉萎陷', '心率增快', '无尿', '高血压', '休克', '恶心', '血压下降', '皮肤苍白', '紧张'}
过敏性休克	{'皮肤苍白', '皮疹', '头晕', '恐惧', '畏寒', '呼吸困难', '腹部不适', '烦躁不安', '呕吐', '意识障碍', '风团', '高血压', '休克', '血管神经性水肿', '恶心', '血压下降', '心慌', '复视', '黄视', '水肿'}
Goodpasture综合征	{'血清抗GBM抗体阳性', '胸痛', '呼吸困难', '肾功能衰竭', '窒息', '肺部出血', '肾病综合征', '三联征', '大咯血', '高血压', '气喘', '蛋白尿', '少尿', '疲乏', '贫血', '缺铁性贫血', '水肿', '咳嗽', '咯血', '血管炎', '肺栓塞', '无尿', '血尿', '无力'}
过敏性肺炎	{'胸痛', '呼吸困难', '紫绀', '干咳', '中性粒细胞增高', '喘息', '湿罗音', '结节'}
汞中毒	{'丘疹', '肾功能衰竭', '流产', '呼吸衰竭', '皮疹', '多梦', '灼痛', '体重减轻', '斑丘疹', '循环衰竭', '呕吐', '充血', '低分子蛋白尿', '脸红', '溃疡', '失眠', '头痛', '蛋白尿', '腹痛', '粘膜充血', '焦虑', '恶心', '牙齿松动和脱落', '抑郁', '头昏', '皮炎', '震颤', '腹泻', '齿龈肿胀', '甲状腺机能亢进', '肾病综合征'}
呼吸道异物	{'咳嗽', '呼吸困难', '气急', '吞咽困难', '甲状软骨下可触及异物撞击震动感', '窒息', '脓痰', '声音嘶哑', '肺不张', '呛咳', '水肿', '高热'}
呼吸性细支气管相关的间质性肺疾病	{'肺间质纤维化', '蜂窝肺', '咳嗽', '白痰', '胸痛', '肺纤维化', '咯血', '干咳', '捻发音', '肺泡出血', '呼吸衰竭', '结节', '疲劳'}
呼吸衰竭	{'麻痹', '药物中毒', '呼吸衰竭'}
呼吸道合胞病毒肺炎	{'三凹征', '咳嗽', '呼吸困难', '口唇青紫', '心力衰竭', '鼻塞', '高热'}
减压病	{'眩晕', '肢体疼痛', '瘙痒', '尿潴留', '呕吐', '昏迷', '皮下气肿', '偏瘫', '运动失调', '皮肤瘙痒', '头痛', '腹痛', '耳聋', '截瘫', '剧痛', '恶心', '复视', '水肿', '大小便失禁', '腹泻', '神经性耳聋', '低血容量休克', '浮肿', '休克', '视野缩小', '发绀'}
急性呼吸衰竭	{'发绀', '呼吸困难', '紫绀', '烦躁不安', '呼吸衰竭', '表情淡漠', '心率增快', '昏迷', '黄疸', '颈静脉充盈', '代谢性酸中毒', '疲劳', '谵妄', '端坐呼吸', '三凹征', '昏睡', '镇静药中毒', '指甲呈现青紫色', '肝功能异常', '潮式呼吸', '水肿', '震颤', '呼吸性碱中毒', '鼻翼扇动', '呼吸性酸中毒', '腹式反常呼吸', '抽搐', '血尿', '心律失常', '上消化道出血', '心脏停搏', '扑翼样震颤'}
急性肺脓肿	{'胸腔积液', '咳嗽', '胸痛', '乏力', '气胸', '脓痰', '消瘦', '寒战', '脓胸', '高热'}
军团病	{'低钠血症', '眩晕', '胸痛', '心包炎', '急性肾衰竭', '食欲减退', '呼吸衰竭', '胸腔积液', '乏力', '呕吐', '肾衰竭', '腹膜炎', '谵妄', '肌肉酸痛', '低热', '失眠', '高热', '头痛', '噩梦', '蛋白尿', '腹痛', '少尿', '气急', '干咳', '脓肿', '恶心', '寒战', '低磷血症', '血管内凝血', '神志不清', '急性病容', '咳嗽', '腹泻', '肌痛', '脓痰', '缓脉', '无尿', '胆红素升高', '休克', '血尿', '血沉增快', '幻觉', '发绀'}
急性呼吸窘迫综合征	{'呼吸性碱中毒', '肺纹理增多', '呼吸困难', '紫绀', '焦虑', '低氧血症', '昏迷', '过度通气', '二氧化碳潴留', '呼吸衰竭', '疲劳', '谵妄', '心脏停搏', '嗜睡', '水肿', '发绀'}
军团菌病	{'黏液便', '胸腔积液', '肌痛', '胸痛', '发绀', '呼吸困难', '腹痛', '呼吸急促', '肝脾肿大', '干咳', '呕吐', '缓脉', '低血压', '昏迷', '急性面容', '定向力障碍', '哮鸣音', '脾肿大', '高热'}
结核性脓胸	{'呼吸音减弱', '胸痛', '恶寒', '乏力', '呼吸困难', '咳嗽', '气急', '干咳', '浮肿', '杵状指（趾）', '脓痰', '肋间隙变窄', '盗汗', '贫血', '胸闷', '消瘦', '白细胞增多', '脓胸', '低热', '高热'}
金黄色葡萄球菌肺炎	{'败血症', '胸痛', '咳嗽', '组织坏死', '呼吸困难', '囊肿', '脓肿', '休克', '寒战', '呼吸衰竭', '血胸', '脓胸', '高热'}
咖啡因与氨茶碱中毒	{'呕血', '麻痹', '耳鸣', '呕吐', '昏迷', '谵妄', '惊厥', '头痛', '腹痛', '尿意窘迫', '利尿', '心脏骤停', '恶心', '血管内凝血', '头昏', '水肿', '震颤', '脑水肿', '便血', '心力衰竭', '肺栓塞', '休克', '心动过速', '血尿', '心律失常'}
卡氏肺囊虫肺炎	{'咳嗽', '腹泻', '呼吸困难', '紫绀', '气胸', '烦躁不安'}
咯血	{'呼吸音减弱', '胸痛', '咯血伴有皮肤粘膜出血', '呼吸困难', '流产', '锁骨上及前斜角肌淋巴结肿大', '窒息', '咯血伴黄疸', '咯血伴发热', '淋巴结肿大', '呛咳', '大咯血', '子宫内膜异位', '咯血伴胸痛', '黄疸', '粉红色泡沫痰', '咯血伴呛咳', '咳痰', '晕厥', '脓肿', '血热', '水肿', '咯血', '肺栓塞'}
硫化氢中毒	{'结膜充血', '头痛', '乏力', '意识模糊', '呼吸困难', '阵挛', '易激动', '充血', '昏迷', '轻度中毒', '恶心', '抽搐', '嗅觉丧失', '流泪', '头晕', '谵妄', '水肿'}
老年肺炎	{'胸痛', '肺实变', '呼吸困难', '痰多', '无力', '乏力', '呕吐', '心率增快', '昏迷', '谵妄', '铁锈色痰', '高热', '咳痰', '恶心', '寒战', '血压下降', '咳嗽', '意识模糊', '呼吸急促', '心力衰竭', '食欲不振', '精神萎靡', '心律失常'}
流行性感冒	{'呼吸困难', '腹胀', '咽痛', '食欲减退', '头晕', '乏力', '呕吐', '眼干', '惊厥', '高热', '头痛', '腹痛', '恶心', '神志不清', '咳嗽', '腹泻', '畏寒', '鼻塞', '抽搐', '无力', '流泪', '胃肠道症状', '嗜睡', '发绀'}
免疫缺陷者肺炎	{'结节', '水肿', '肺栓塞'}
镍中毒	{'胸痛', '肺门增宽', '咳嗽', '肺纹理增多', '鼻中隔穿孔', '丘疹', '疱疹', '嗅觉丧失', '胸闷'}
铍中毒	{'丘疹', '气短', '呼吸困难', '瘙痒', '食欲减退', '肉芽肿', '头晕', '灼痛', '乏力', '体重减轻', '充血', '疱疹', '溃疡', '头痛', '干咳', '胸闷', '结节', '皮炎', '水肿', '咳嗽', '心力衰竭', '心动过速', '发绀'}
